crossover_hz,exact_cancellation_penalty,exact_lr_mismatch_rms_db,exact_phase_penalty,exact_preference_penalty,exact_score,exact_target_rms_db,exact_validation_rms_db,proxy_score,score,sub_delay_ms,sub_gain_db
"118.000000","0.110757","1.308628","0.424360","0.000000","5.572435","3.068414","7.158075","7.764248","5.572435","-1.500000","2.000000"
"108.000000","0.116136","1.433795","0.366285","0.000000","5.743757","3.284896","6.909741","8.490756","5.743757","-1.500000","3.000000"
"120.000000","0.102407","1.248398","0.419362","0.000000","5.757768","3.313266","7.027675","7.666845","5.757768","-1.500000","1.000000"
"116.000000","0.115425","1.325887","0.423487","0.000000","5.774900","3.298654","7.017090","7.884127","5.774900","-1.500000","2.000000"
"122.000000","0.107053","1.254362","0.416899","0.000000","5.816428","3.358372","7.071035","7.554321","5.816428","-1.500000","1.000000"
"124.000000","0.097894","1.210738","0.403827","0.000000","5.817073","3.387948","7.057183","7.502465","5.817073","-1.500000","1.000000"
"114.000000","0.086064","1.287151","0.386071","0.000000","5.829969","3.445838","6.824668","8.025625","5.829969","-1.500000","2.000000"
"106.000000","0.130643","1.481810","0.352125","0.000000","5.844000","3.376907","6.880559","8.688443","5.844000","-1.500000","4.000000"
"126.000000","0.054049","1.111462","0.375718","0.000000","5.854773","3.517162","6.956486","7.445064","5.854773","-1.500000","0.000000"
"128.000000","0.047374","1.070150","0.370812","0.000000","5.864866","3.550260","6.942791","7.386401","5.864866","-1.500000","0.000000"
"130.000000","0.041378","1.037460","0.366839","0.000000","5.877955","3.581829","6.932179","7.339485","5.877955","-1.500000","0.000000"
"134.000000","0.030856","0.964236","0.366089","0.000000","5.908800","3.647941","6.911957","7.275089","5.908800","-1.500000","0.000000"
"110.000000","0.109901","1.384924","0.358725","0.000000","5.932172","3.519948","6.816712","8.323815","5.932172","-1.500000","3.000000"
"112.000000","0.099168","1.344066","0.369058","0.000000","5.941017","3.544038","6.809440","8.183574","5.941017","-1.500000","3.000000"
"138.000000","0.103760","0.971894","0.409763","0.000000","5.950017","3.600232","7.052945","7.192428","5.950017","-1.775000","-0.375000"
"136.000000","0.140809","0.997079","0.448445","0.000000","5.974559","3.590828","7.016828","7.253191","5.974559","-2.000000","0.000000"
"140.000000","0.104764","0.948996","0.454575","0.000000","5.978282","3.597016","7.119694","7.170709","5.978282","-1.800000","-0.500000"
"104.000000","0.211535","1.545886","0.370473","0.000000","6.068441","3.549338","6.832770","8.858860","6.068441","6.500000","4.000000"
"132.000000","0.171370","1.635926","0.431447","0.000000","6.495405","3.604004","8.138224","7.302822","6.495405","-1.500000","0.000000"
"64.000000","0.056670","4.331102","0.161376","0.000000","7.717462","4.124204","7.896066","8.817044","7.717462","3.500000","-10.000000"
"62.000000","0.073058","4.311336","0.216786","0.000000","7.759485","4.128505","7.937583","8.729891","7.759485","3.500000","-10.000000"
"60.000000","0.063611","4.319574","0.271420","0.000000","7.809574","4.147676","7.955572","8.666474","7.809574","3.500000","-10.000000"
"58.000000","0.066238","4.315626","0.314658","0.000000","7.867067","4.181055","7.966876","8.624180","7.867067","3.500000","-10.000000"
"56.000000","0.087864","4.366912","0.337341","0.000000","7.984858","4.210061","8.170247","8.600861","7.984858","3.500000","-10.000000"
"54.000000","0.067839","4.313583","0.369188","0.000000","7.989453","4.270314","7.990622","8.593565","7.989453","3.500000","-10.000000"
"50.000000","0.043484","4.343078","0.466103","0.000000","8.135798","4.368902","7.985495","8.620273","8.135798","3.500000","-9.000000"
"78.000000","1.755172","4.387291","0.675283","0.000000","8.202579","3.443474","8.735371","8.904514","8.202579","-4.000000","2.000000"
"76.000000","2.045557","4.766481","0.706603","0.000000","8.604344","3.541786","8.891063","8.885840","8.604344","-4.000000","3.000000"
"52.000000","0.115515","4.398245","0.344526","0.000000","8.605527","4.546724","9.203793","8.599590","8.605527","3.500000","-10.000000"
"74.000000","3.014758","5.996455","0.735048","0.000000","10.052316","4.071922","9.232832","8.912151","10.052316","-4.000000","4.000000"
