final_left_db,final_left_plus_sub_db,final_right_db,final_right_plus_sub_db,final_sub_db,freq_hz,left_cancellation_db,measured_left_plus_sub_db,measured_right_plus_sub_db,right_cancellation_db,target_db
"51.743054","71.253608","48.771728","71.157141","70.564477","50.170900","0.689131","87.810662","87.446547","0.592664","82.731965"
"59.857515","75.666764","55.770152","76.761484","76.553965","60.058600","-0.887201","91.775000","93.138617","0.207519","82.475380"
"57.251723","73.081345","55.427895","71.750156","71.646482","69.946300","1.434863","84.672764","85.091565","0.103674","82.013323"
"67.150746","80.239293","53.325683","78.585578","78.982960","79.834000","1.256334","92.967200","84.909677","-0.397381","81.360909"
"62.927250","72.507385","60.173769","69.858203","71.317659","90.087900","1.189726","84.285260","73.811428","-1.459456","80.616369"
"64.826397","76.473675","62.637481","78.506981","77.277340","99.975600","-0.803664","85.536392","83.318123","1.229641","79.867638"
"59.706458","74.500469","59.238580","72.872838","73.090832","109.863300","1.409637","65.266757","74.584601","-0.217994","79.150917"
"66.521285","79.118957","73.979271","82.700072","78.794213","120.117200","0.324744","80.194672","89.649479","3.905859","78.503069"
"55.195586","74.295252","66.745095","69.529653","74.179115","139.892600","0.116137","86.936467","87.191219","-4.649462","77.535408"
